2010 Rank|Name|Government|Population (2010 census)[2]|Population (2020 census)[3]|Change|Main County|Other Counties|

1053|Abbott|city|356|352|−1.12%|Hill||
474|Abernathy|city|2,805|2,865|+2.14%|Hale|Lubbock|
25|Abilene|city|117,063|125,182|+6.94%|Taylor|Jones|
1137|Ackerly|city|220|264|+20.00%|Dawson|Martin|
179|Addison|town|13,056|16,661|+27.61%|Dallas||
1169|Adrian|city|166|128|−22.89%|Oldham||
852|Agua Dulce|city|812|685|−15.64%|Nueces||
133|Alamo|city|18,353|19,493|+6.21%|Hidalgo||
264|Alamo Heights|city|7,031|7,357|+4.64%|Bexar||
967|Alba|town|504|473|−6.15%|Wood||
568|Albany|city|2,034|1,854|−8.85%|Shackelford||
483|Aledo|city|2,716|4,858|+78.87%|Parker||
126|Alice|city|19,104|17,891|−6.35%|Jim Wells||
38|Allen|city|84,246|104,627|+24.19%|Collin||
1073|Alma|town|331|373|+12.69%|Ellis||
300|Alpine|city|5,905|6,035|+2.20%|Brewster||
721|Alto|town|1,225|1,027|−16.16%|Cherokee||
187|Alton|city|12,341|18,198|+47.46%|Hidalgo||
397|Alvarado|city|3,785|4,739|+25.20%|Johnson||
111|Alvin|city|24,236|27,098|+11.81%|Brazoria||
700|Alvord|town|1,334|1,351|+1.27%|Wise||
14|Amarillo|city|190,695|200,393|+5.09%|Potter|Randall|
790|Ames|city|1,003|937|−6.58%|Liberty||
885|Amherst|city|721|678|−5.96%|Lamb||
540|Anahuac|city|2,243|1,980|−11.73%|Chambers||
1136|Anderson|city|222|193|−13.06%|Grimes||
202|Andrews|city|11,088|13,487|+21.64%|Andrews||
127|Angleton|city|18,862|19,429|+3.01%|Brazoria||
1020|Angus|city|414|444|+7.25%|Navarro||
238|Anna|city|8,249|16,896|+104.82%|Collin||
709|Annetta|town|1,288|3,041|+136.10%|Parker||
955|Annetta North|town|518|554|+6.95%|Parker||
951|Annetta South|town|526|621|+18.06%|Parker||
1082|Annona|town|315|184|−41.59%|Red River||
524|Anson|city|2,430|2,294|−5.60%|Jones||
334|Anthony|town|5,011|3,671|−26.74%|El Paso||
748|Anton|city|1,126|907|−19.45%|Hockley||
991|Appleby|city|474|552|+16.46%|Nacogdoches||
1189|Aquilla|city|109|101|−7.34%|Hill||
239|Aransas Pass|city|8,204|7,941|−3.21%|Nueces|Aransas,San Patricio|
600|Archer City|city|1,834|1,601|−12.70%|Archer||
